ID,createdAt,createdBy,modifiedAt,modifiedBy,name,description,isDeleted
a7a40d41-e7d9-4056-bb3b-fd967baa538d,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Premium Beverages,"High quality, select items in the Premium Beverages department.",false
1eba1b1b-138d-42e6-8fc6-0f7fb9b34073,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Organic Condiments,"High quality, select items in the Organic Condiments department.",false
a33c1475-19d4-421a-a507-bbb85bc8287c,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Gourmet Confections,"High quality, select items in the Gourmet Confections department.",false
c0472ee6-f2c2-4695-8e8f-5f6d3fd0cc10,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Fresh Dairy,"High quality, select items in the Fresh Dairy department.",false
1fb04e66-b1a0-4d87-9375-9b15d80b0e3a,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Selected Grains,"High quality, select items in the Selected Grains department.",false
be4a4984-b52d-4097-b145-181c5d8c3dc6,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Signature Meats,"High quality, select items in the Signature Meats department.",false
96ca9831-9949-461f-806e-eb43273d8da8,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Artisanal Produce,"High quality, select items in the Artisanal Produce department.",false
c351ef8e-727d-4f9f-bafc-601fde6ee7c3,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Local Seafood,"High quality, select items in the Local Seafood department.",false
479ec6b4-a66e-4c8a-b8d4-96564b20dc1d,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Imported Snacks,"High quality, select items in the Imported Snacks department.",false
91f739f2-e1cd-4311-a874-2d9486c90931,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Specialty Breads,"High quality, select items in the Specialty Breads department.",false
aad45662-d88e-4899-9b92-eca72ea5f728,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Deluxe Desserts,"High quality, select items in the Deluxe Desserts department.",false
64e654d9-5a06-43f5-a3ad-ea9e4aa9bbbe,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Traditional Sauces,"High quality, select items in the Traditional Sauces department.",false
befcb3aa-3a5b-43bc-b3a9-291be440d0f6,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Vintage Beverages,"High quality, select items in the Vintage Beverages department.",false
463582a5-59ec-48f4-a900-949c321f92b9,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Eco-Friendly Spices,"High quality, select items in the Eco-Friendly Spices department.",false
d28cede0-4345-46b2-8192-5a8a5c6a589e,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Diet Oils,"High quality, select items in the Diet Oils department.",false
c08e061e-81b6-4669-89fc-ccedcf194121,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Gluten-Free Extracts,"High quality, select items in the Gluten-Free Extracts department.",false
2733bb5f-9e36-418d-b888-86cff2e33aa5,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Premium Condiments,"High quality, select items in the Premium Condiments department.",false
28f507b7-324f-415f-bd99-37252966b1d3,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Organic Confections,"High quality, select items in the Organic Confections department.",false
c71bb8cf-e34b-43d5-be8d-58637454794c,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Gourmet Dairy,"High quality, select items in the Gourmet Dairy department.",false
f8943c65-a2e5-41c4-9922-b87c4ed4da26,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Fresh Grains,"High quality, select items in the Fresh Grains department.",false
dd7ed420-860c-4664-aaa6-f67aad08f609,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Selected Meats,"High quality, select items in the Selected Meats department.",false
003dfb1e-4910-4b5d-88ff-3bcbfa3c1776,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Signature Produce,"High quality, select items in the Signature Produce department.",false
fca01289-d2e8-4889-9d68-369327d707ea,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Artisanal Seafood,"High quality, select items in the Artisanal Seafood department.",false
2f55f16d-759f-4df1-932b-d09d0dc9ed8b,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Local Snacks,"High quality, select items in the Local Snacks department.",false
2c479da9-9ff7-4c7b-8ac1-b19283c31344,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Imported Breads,"High quality, select items in the Imported Breads department.",false
3a811278-7827-4510-bf21-5e16f10a014d,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Specialty Desserts,"High quality, select items in the Specialty Desserts department.",false
