ID,createdAt,createdBy,modifiedAt,modifiedBy,productNumber,name,unitPrice,unitsInStock,unitsOnOrder,reorderLevel,criticality,discontinued,isDeleted,category_ID
af7cf723-e5a0-407f-83aa-d63ce74b96bf,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,11,Uncle Bob's Chai,5,5,76,10,1,true,false,a7a40d41-e7d9-4056-bb3b-fd967baa538d
a54901a9-a1f4-4a85-ac3c-2903499a1747,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,12,Grandma's Syrup,6.85,95,0,15,3,false,false,1eba1b1b-138d-42e6-8fc6-0f7fb9b34073
b42dda86-41d5-4380-993c-f0f93a62b99f,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,13,Chef Anton's Cajun Seasoning,8.7,255,0,20,3,false,false,a33c1475-19d4-421a-a507-bbb85bc8287c
3fea9bd8-b8eb-44df-83cd-56776deca760,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,14,Northwoods Gumbo Mix,10.55,252,0,25,3,false,false,c0472ee6-f2c2-4695-8e8f-5f6d3fd0cc10
372209fc-5103-49bb-bc86-b9af6f23f809,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,15,Tokyo Boysenberry Spread,12.4,175,0,10,3,false,false,1fb04e66-b1a0-4d87-9375-9b15d80b0e3a
60af9b4b-e78e-4892-944a-133435e87dad,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,16,Cooper's Dried Pears,14.25,6,0,15,1,false,false,be4a4984-b52d-4097-b145-181c5d8c3dc6
de813aa6-2597-4448-ab69-05b3b4e15af5,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,17,Boston Cranberry Sauce,16.1,258,0,20,3,false,false,96ca9831-9949-461f-806e-eb43273d8da8
48eb9130-a41c-4a48-8d90-47c7feeae699,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,18,Louisiana Mishi Kobe Niku,17.95,326,32,25,3,false,false,c351ef8e-727d-4f9f-bafc-601fde6ee7c3
22c91c1f-d096-4664-bb8f-c654e4c57d9f,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,19,Outback Ikura,19.8,392,0,10,3,false,false,479ec6b4-a66e-4c8a-b8d4-96564b20dc1d
7e156593-220a-4c9d-882c-b5c8d3fafc97,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,20,Singapore Queso Cabrales,21.65,353,0,15,3,false,false,91f739f2-e1cd-4311-a874-2d9486c90931
18a6b443-7e61-48f4-8c79-2824f4ca4601,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,21,Rhönbräu Tofu,23.5,3,0,20,1,false,false,aad45662-d88e-4899-9b92-eca72ea5f728
ad7c29d1-5e99-4802-9c5b-38ff1b6e9c3c,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,22,Lakkalikööri Pavlova,25.35,322,0,25,3,false,false,64e654d9-5a06-43f5-a3ad-ea9e4aa9bbbe
f1be1f3f-0cdd-4756-b692-39b34cff3fac,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,23,Perth Alice Mutton,27.2,422,0,10,3,false,false,befcb3aa-3a5b-43bc-b3a9-291be440d0f6
8968827d-bce2-4786-a5d6-1db415eadee6,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,24,New England Carnarvon Tigers,29.05,273,0,15,3,false,false,463582a5-59ec-48f4-a900-949c321f92b9
13792edb-1cbe-4bb2-bd11-f135a3c223b6,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,25,Scottish Chocolate Biscuits,30.9,350,84,20,3,false,false,d28cede0-4345-46b2-8192-5a8a5c6a589e
857a415e-da6f-43a0-a510-dbc595dbff03,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,26,Hanoi Marmalade,32.75,5,0,25,1,false,false,c08e061e-81b6-4669-89fc-ccedcf194121
09ac0280-4d5c-4d4d-9623-2bd029e7f4b4,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,27,Mishi Scones,34.6,453,0,10,3,false,false,2733bb5f-9e36-418d-b888-86cff2e33aa5
aebc0978-70ff-4b0f-94c0-9be1902455fc,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,28,Kobe Knäckebröd,36.45,150,0,15,3,false,false,28f507b7-324f-415f-bd99-37252966b1d3
66c2620b-3011-474d-92f4-cbf7d04e1132,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,29,Alice Tunnbröd,38.3,299,0,20,3,false,false,c71bb8cf-e34b-43d5-be8d-58637454794c
b4a4f114-c346-47af-8d29-4ab7dfbf8f6f,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,30,Giovanni Guaraná,40.15,381,0,25,3,false,false,f8943c65-a2e5-41c4-9922-b87c4ed4da26
