ID,name,description
889af7cf-f101-4ad2-b31c-32cd11e606bc,Premium Beverages,"High quality, select items in the Premium Beverages department."
81cce28a-a084-4cbc-9224-97ad8e94f8f7,Organic Condiments,"High quality, select items in the Organic Condiments department."
61abe758-96ca-418a-a1bb-0c28d107ff6b,Gourmet Confections,"High quality, select items in the Gourmet Confections department."
6d31effc-2a2a-4f4a-89f5-0e40340de369,Fresh Dairy,"High quality, select items in the Fresh Dairy department."
b93f5dff-aae1-4272-b2f6-62bb1381c6bc,Selected Grains,"High quality, select items in the Selected Grains department."
f1373557-f492-41d4-ab2f-07b425ea71d7,Signature Meats,"High quality, select items in the Signature Meats department."
a3b2f010-34fe-4b3b-b714-bb0bcee5f34d,Artisanal Produce,"High quality, select items in the Artisanal Produce department."
f0c626d5-c670-41ae-b92d-388912cb0ad6,Local Seafood,"High quality, select items in the Local Seafood department."
4d42b5f3-b050-4f25-922e-68914ce92440,Imported Snacks,"High quality, select items in the Imported Snacks department."
55e105c2-4a9c-41ee-b5ee-813087c92189,Specialty Breads,"High quality, select items in the Specialty Breads department."
c0cc223d-c2ee-4b0d-b3fd-c34fdbcf2601,Deluxe Desserts,"High quality, select items in the Deluxe Desserts department."
f573410e-3356-4d7a-ac3e-e18811c4e5ff,Traditional Sauces,"High quality, select items in the Traditional Sauces department."
15af289a-9b8f-46fd-bec5-5cb60977c216,Vintage Beverages,"High quality, select items in the Vintage Beverages department."
83817cff-b5cf-4341-b285-3aaa7bf5eec3,Eco-Friendly Spices,"High quality, select items in the Eco-Friendly Spices department."
31d04d60-bd5e-440e-95d0-5d11b19aea70,Diet Oils,"High quality, select items in the Diet Oils department."
57b17ffc-cdd3-45ea-9a7b-872c6d056196,Gluten-Free Extracts,"High quality, select items in the Gluten-Free Extracts department."
8ae2fd84-6c7f-433b-b4a2-b145672cb991,Premium Condiments,"High quality, select items in the Premium Condiments department."
f62d70f7-59e7-45fe-aea8-e7cef5b935bb,Organic Confections,"High quality, select items in the Organic Confections department."
5295fdc3-6791-45c5-b6ed-c84c4326abab,Gourmet Dairy,"High quality, select items in the Gourmet Dairy department."
8c5dd8e5-098c-4fe4-b33f-06bb22089743,Fresh Grains,"High quality, select items in the Fresh Grains department."
035e57c4-2959-4a9b-a4bf-39f3467043c0,Selected Meats,"High quality, select items in the Selected Meats department."
9e5fc5ee-aaba-48ad-aaee-d6aa241645c3,Signature Produce,"High quality, select items in the Signature Produce department."
75e1c493-aba7-499b-abb9-beb1da743aa1,Artisanal Seafood,"High quality, select items in the Artisanal Seafood department."
6c5f0f24-9b1d-4074-abc1-4f80c538a4b4,Local Snacks,"High quality, select items in the Local Snacks department."
166a2742-de32-4841-990f-ff121d98a636,Imported Breads,"High quality, select items in the Imported Breads department."
be44e371-a0d9-4e32-9515-e1d9654e2efa,Specialty Desserts,"High quality, select items in the Specialty Desserts department."
f339c389-849c-4395-92a8-e37d39183c33,Deluxe Sauces,"High quality, select items in the Deluxe Sauces department."
d687568c-a1de-4447-8e92-3471285ddb51,Traditional Beverages,"High quality, select items in the Traditional Beverages department."
4d6db504-6c4a-4268-99e0-b9aec311b0e5,Vintage Spices,"High quality, select items in the Vintage Spices department."
90e51606-2ee4-4a6d-8497-0fb32e37807f,Eco-Friendly Oils,"High quality, select items in the Eco-Friendly Oils department."
5fe4abee-1f52-413f-adc9-2397bff60bf3,Diet Extracts,"High quality, select items in the Diet Extracts department."
c1e9e5b4-f5c2-452e-adab-2fa8bc5d03fa,Gluten-Free Beverages,"High quality, select items in the Gluten-Free Beverages department."
d9907a80-38a0-47b0-858b-18430de1c7a2,Premium Confections,"High quality, select items in the Premium Confections department."
9cce8fa6-9cd9-48ef-8472-ad4297cdfaf2,Organic Dairy,"High quality, select items in the Organic Dairy department."
2238a1bc-8f44-4d2a-9c30-d224dc593ab8,Gourmet Grains,"High quality, select items in the Gourmet Grains department."
