ID,customerID,companyName,contactName,contactTitle,address,city,postalCode,country,phone
8a3ead53-c2d4-45bd-92ad-84d2dfcf7234,GLOBA,Global Trading LLC,John Brown,Owner,10 Main St,Los Angeles,90001,USA,(555) 019-2834
9f83f1ac-abc0-40b6-8b23-cc1d600aa7e8,APEXL,Apex Logistics Inc.,Jane Jones,Sales Representative,11 Broadway,Berlin,10115,Germany,089-0874321
063ad3cb-682a-42c8-b25b-3ffab9bbee6f,MATRI,Matrix Industries Corp,Michael Garcia,Purchasing Manager,12 Oak Ave,Birmingham,B1 1AY,UK,(0121) 555-3434
99f54a45-af8c-4e17-a778-6a196fb676d7,SUMMI,Summit Solutions Ltd,Emily Miller,Marketing Manager,13 Pine St,Ho Chi Minh City,700000,Vietnam,0292-3487569
e13d2e69-5ab6-4490-a64c-b005b4b2570d,VORTE,Vortex Foods GmbH,William Davis,Order Administrator,14 Maple Dr,Singapore,018981,Singapore,6555-9988
d891c341-af16-437b-b011-042468e6a946,ZENIT,Zenith Group Co.,Olivia Rodriguez,Accounting Manager,15 Cedar Rd,New York,10001,USA,(555) 013-4827
ff338627-c51e-40b7-860a-2d130d2a3645,NOVAE,Nova Enterprises S.A.,James Martinez,Finance Director,16 Elm St,Frankfurt,60311,Germany,030-0074321
0451033d-e2dd-45e9-a942-aa4b04cfcbb7,INFIN,Infinity Partners Partnership,Sophia Hernandez,Purchasing Agent,17 View Rd,Leeds,LS1 1UR,UK,(0161) 555-1212
c946b296-c980-44ce-989c-810221181560,QUANT,Quantum Ventures LLC,Robert Lopez,Inventory Manager,18 Sunset Blvd,Hanoi,100000,Vietnam,0236-3987654
41860f7c-5d6d-4856-8d1d-625c88bee01f,OMNIH,Omni Holdings Inc.,Isabella Gonzalez,Logistics Coordinator,19 Lake St,Singapore,018981,Singapore,6555-4321
7d29aa0e-b4cc-4850-9e29-32760b46dcc3,DYNAM,Dynamic Systems Corp,David Wilson,Owner,20 High St,New York,10001,USA,(555) 011-3829
ae7f5959-1ba1-49a0-abd2-970c7697a273,PRIME,Prime Technologies Ltd,Mia Anderson,Sales Representative,21 Park Ln,Munich,80331,Germany,0221-0474321
8b7aedd8-7701-4090-a92c-0dd5129965d6,ALPHA,Alpha Manufacturing GmbH,Richard Thomas,Purchasing Manager,22 Main St,London,EC1A 1BB,UK,(0171) 555-2282
f533319b-3008-4762-9b08-ca1f6767c4df,BETAS,Beta Supply Co.,Charlotte Taylor,Marketing Manager,23 Broadway,Hanoi,100000,Vietnam,028-38765432
1b4bba31-d21b-4eed-8620-8454ea949a6c,DELTA,Delta Distribution S.A.,Joseph Moore,Order Administrator,24 Oak Ave,Singapore,018981,Singapore,6555-8765
87404614-a6a2-4f10-a769-0031e338a9ba,SIGMA,Sigma Services Partnership,Amelia Jackson,Accounting Manager,25 Pine St,Boston,02101,USA,(555) 015-8473
f6836799-9159-4626-8aef-c0dc96873d8d,FALCO,Falcon Trading LLC,Thomas Martin,Finance Director,26 Maple Dr,Berlin,10115,Germany,0711-0374321
64a53ee4-85fd-4f67-b22e-5696f0b5b374,TITAN,Titan Logistics Inc.,Evelyn Smith,Purchasing Agent,27 Cedar Rd,Leeds,LS1 1UR,UK,(0141) 555-7777
bf0d11a8-0c5f-4d65-ad8f-3ae74dbd8518,AEROI,Aero Industries Corp,Charles Johnson,Inventory Manager,28 Elm St,Nha Trang,650000,Vietnam,024-34567890
b8f4346c-ed69-402e-a878-2283d4f1241c,HORIZ,Horizon Solutions Ltd,Abigail Williams,Logistics Coordinator,29 View Rd,Singapore,018981,Singapore,6555-5678
c5b5f9ea-8148-4d68-b253-edf14c674fd3,GLOBA,Global Group GmbH,John Brown,Owner,30 Sunset Blvd,Houston,77001,USA,(555) 012-9847
ebce1136-7a44-4595-8d5b-3804d52370bd,APEXE,Apex Enterprises Co.,Jane Jones,Sales Representative,31 Lake St,Cologne,50667,Germany,069-0974321
7b8a2b61-a12a-498a-aacd-ee796c8bbe86,MATRI,Matrix Partners S.A.,Michael Garcia,Purchasing Manager,32 High St,Glasgow,G1 1QX,UK,(0151) 555-9898
6bf54182-ea38-46f0-8724-4bc394d2d4c2,SUMMI,Summit Ventures Partnership,Emily Miller,Marketing Manager,33 Park Ln,Hai Phong,180000,Vietnam,0258-3567890
a96c4855-8891-4eed-815b-17469a5893e6,VORTE,Vortex Holdings LLC,William Davis,Order Administrator,34 Main St,Singapore,018981,Singapore,6555-1234
4f71f6c6-627c-4952-a4d0-aaa12c1c1427,ZENIT,Zenith Systems Inc.,Olivia Rodriguez,Accounting Manager,35 Broadway,Seattle,98101,USA,(555) 014-3829
6198fa6b-0645-4017-a0be-29d827252e26,NOVAT,Nova Technologies Corp,James Martinez,Finance Director,36 Oak Ave,Berlin,10115,Germany,040-0274321
d4c9d3c2-40c0-4a45-9fbd-16a93573f7a9,INFIN,Infinity Manufacturing Ltd,Sophia Hernandez,Purchasing Agent,37 Pine St,Liverpool,L1 1JR,UK,(0113) 555-7878
a70c1ba4-1d8c-4b54-a3e3-b68e3d32fd64,QUANT,Quantum Supply GmbH,Robert Lopez,Inventory Manager,38 Maple Dr,Ho Chi Minh City,700000,Vietnam,0225-3987123
eaf3bf8f-c8a7-4bd3-85a4-475b9698f459,OMNID,Omni Distribution Co.,Isabella Gonzalez,Logistics Coordinator,39 Cedar Rd,Singapore,018981,Singapore,6555-7766
08e6f50e-486c-49a6-af65-7c8b81661235,DYNAM,Dynamic Services S.A.,David Wilson,Owner,40 Elm St,Seattle,98101,USA,(555) 019-2834
daab438b-5a78-4a89-ae17-a70b0ba6facb,PRIME,Prime Trading Partnership,Mia Anderson,Sales Representative,41 View Rd,Berlin,10115,Germany,089-0874321
1c041d14-753f-4485-ae05-af21c486fdd9,ALPHA,Alpha Logistics LLC,Richard Thomas,Purchasing Manager,42 Sunset Blvd,Glasgow,G1 1QX,UK,(0121) 555-3434
95a8b7e5-2272-4af3-b8ff-e64a0c926dd0,BETAI,Beta Industries Inc.,Charlotte Taylor,Marketing Manager,43 Lake St,Hanoi,100000,Vietnam,0292-3487569
52fdefde-cdac-4878-b0da-0e95f6d34435,DELTA,Delta Solutions Corp,Joseph Moore,Order Administrator,44 High St,Singapore,018981,Singapore,6555-9988
648514ab-7ef4-434c-bde4-0e843b14c9d1,SIGMA,Sigma Foods Ltd,Amelia Jackson,Accounting Manager,45 Park Ln,Miami,33101,USA,(555) 013-4827
831b042f-ce61-45d0-9c23-dabc83c1fb35,FALCO,Falcon Group GmbH,Thomas Martin,Finance Director,46 Main St,Frankfurt,60311,Germany,030-0074321
db66c21b-391d-4eef-892c-adf486abda66,TITAN,Titan Enterprises Co.,Evelyn Smith,Purchasing Agent,47 Broadway,Glasgow,G1 1QX,UK,(0161) 555-1212
cbbfb9be-c1fa-412c-aca7-8cde0b3f3b77,AEROP,Aero Partners S.A.,Charles Johnson,Inventory Manager,48 Oak Ave,Hai Phong,180000,Vietnam,0236-3987654
2513d11a-48e3-478a-97f4-7ed3cb4ec659,HORIZ,Horizon Ventures Partnership,Abigail Williams,Logistics Coordinator,49 Pine St,Singapore,018981,Singapore,6555-4321
f016d476-84fe-4d9e-be34-0aefa970e869,GLOBA,Global Systems LLC,John Brown,Owner,50 Maple Dr,San Francisco,94101,USA,(555) 011-3829
ed6b2e76-de9e-49de-aa95-8bc5ecc98ded,APEXT,Apex Technologies Inc.,Jane Jones,Sales Representative,51 Cedar Rd,Frankfurt,60311,Germany,0221-0474321
e1fdcb2b-4bbc-41ef-abda-d8c4046e8b02,MATRI,Matrix Manufacturing Corp,Michael Garcia,Purchasing Manager,52 Elm St,Liverpool,L1 1JR,UK,(0171) 555-2282
0b7b80f7-8009-43c1-83dd-c4026741662c,SUMMI,Summit Supply Ltd,Emily Miller,Marketing Manager,53 View Rd,Can Tho,900000,Vietnam,028-38765432
6a424ea7-ce18-43cd-ac55-be752b263566,VORTE,Vortex Distribution GmbH,William Davis,Order Administrator,54 Sunset Blvd,Singapore,018981,Singapore,6555-8765
57a43620-6f79-44c1-9a0a-61b22ec9b94e,ZENIT,Zenith Services Co.,Olivia Rodriguez,Accounting Manager,55 Lake St,Chicago,60601,USA,(555) 015-8473
4838ff84-b620-4589-a9fe-37bac0bda211,NOVAT,Nova Trading S.A.,James Martinez,Finance Director,56 High St,Berlin,10115,Germany,0711-0374321
c9de6b27-89a0-44ac-993e-8cbe4363530e,INFIN,Infinity Logistics Partnership,Sophia Hernandez,Purchasing Agent,57 Park Ln,Leeds,LS1 1UR,UK,(0141) 555-7777
a893aa14-7f57-45d5-bfb2-487ef9627ad2,QUANT,Quantum Industries LLC,Robert Lopez,Inventory Manager,58 Main St,Nha Trang,650000,Vietnam,024-34567890
6f6867ea-f051-4e6f-a095-498f025bb5f9,OMNIS,Omni Solutions Inc.,Isabella Gonzalez,Logistics Coordinator,59 Broadway,Singapore,018981,Singapore,6555-5678
5aed6f22-cf62-4aa4-a131-feb4fe7679d8,DYNAM,Dynamic Foods Corp,David Wilson,Owner,60 Oak Ave,Miami,33101,USA,(555) 012-9847
1e84f87e-cef9-4002-b339-11eb4703aa10,PRIME,Prime Group Ltd,Mia Anderson,Sales Representative,61 Pine St,Cologne,50667,Germany,069-0974321
